Course Name,Type,Location,Cost,Eligibility,Link
Cybersecurity Basics (1),Vocational,Karnataka,1500,10th Pass,http://example.com/cybersecurity-basics-1
BCA - Bachelor of Computer Applications (2),Vocational,Kerala,200,Graduate,http://example.com/bca---bachelor-of-computer-applications-2
Beautician Course (3),Vocational,Karnataka,200,10th Pass,http://example.com/beautician-course-3
BCA - Bachelor of Computer Applications (4),Tertiary,Telangana,0,Graduate,http://example.com/bca---bachelor-of-computer-applications-4
Diploma in Electrical Engineering (5),Tertiary,Bihar,2500,10th Pass,http://example.com/diploma-in-electrical-engineering-5
Fashion Design Diploma (6),Tertiary,Online,0,10th Pass,http://example.com/fashion-design-diploma-6
Graphic Design Masterclass (7),Technical,Uttar Pradesh,1500,10th Pass,http://example.com/graphic-design-masterclass-7
Diploma in Electrical Engineering (8),Technical,Kerala,200,12th Pass,http://example.com/diploma-in-electrical-engineering-8
BSc in Agriculture (9),Technical,Jharkhand,1500,10th Pass,http://example.com/bsc-in-agriculture-9
Healthcare Assistant Course (10),Technical,Bihar,200,12th Pass,http://example.com/healthcare-assistant-course-10
Diploma in Computer Science (11),Tertiary,West Bengal,2000,Graduate,http://example.com/diploma-in-computer-science-11
Diploma in Electrical Engineering (12),Tertiary,Tamil Nadu,0,Graduate,http://example.com/diploma-in-electrical-engineering-12
BCA - Bachelor of Computer Applications (13),Technical,Tamil Nadu,1000,10th Pass,http://example.com/bca---bachelor-of-computer-applications-13
B.Com - Bachelor of Commerce (14),Technical,Madhya Pradesh,2000,10th Pass,http://example.com/b.com---bachelor-of-commerce-14
Online Python Programming (15),Technical,Gujarat,1500,Graduate,http://example.com/online-python-programming-15
Tally Accounting (16),Tertiary,Tamil Nadu,500,Graduate,http://example.com/tally-accounting-16
Healthcare Assistant Course (17),Vocational,Punjab,3000,12th Pass,http://example.com/healthcare-assistant-course-17
Computer Hardware Technician (18),Tertiary,Bihar,1000,Graduate,http://example.com/computer-hardware-technician-18
Diploma in Civil Engineering (19),Vocational,Rajasthan,0,12th Pass,http://example.com/diploma-in-civil-engineering-19
B.Com - Bachelor of Commerce (20),Technical,Tamil Nadu,1000,Graduate,http://example.com/b.com---bachelor-of-commerce-20
Graphic Design Masterclass (21),Technical,Gujarat,3000,12th Pass,http://example.com/graphic-design-masterclass-21
Cybersecurity Basics (22),Technical,Maharashtra,1500,10th Pass,http://example.com/cybersecurity-basics-22
BCA - Bachelor of Computer Applications (23),Tertiary,Bihar,1500,Graduate,http://example.com/bca---bachelor-of-computer-applications-23
BA in Social Work (24),Technical,Assam,2500,12th Pass,http://example.com/ba-in-social-work-24
BCA - Bachelor of Computer Applications (25),Vocational,Odisha,3000,10th Pass,http://example.com/bca---bachelor-of-computer-applications-25
Digital Marketing Fundamentals (26),Vocational,Kerala,500,Graduate,http://example.com/digital-marketing-fundamentals-26
Mobile App Development (27),Tertiary,Goa,200,12th Pass,http://example.com/mobile-app-development-27
B.Com - Bachelor of Commerce (28),Tertiary,Madhya Pradesh,1500,Graduate,http://example.com/b.com---bachelor-of-commerce-28
Basic Electronics (29),Tertiary,Kerala,1500,Graduate,http://example.com/basic-electronics-29
Diploma in Civil Engineering (30),Vocational,West Bengal,2500,10th Pass,http://example.com/diploma-in-civil-engineering-30
Fashion Design Diploma (31),Vocational,Online,500,Graduate,http://example.com/fashion-design-diploma-31
BSc in Agriculture (32),Tertiary,West Bengal,1000,10th Pass,http://example.com/bsc-in-agriculture-32
Online Python Programming (33),Vocational,Bihar,0,Graduate,http://example.com/online-python-programming-33
Diploma in Civil Engineering (34),Technical,Karnataka,200,12th Pass,http://example.com/diploma-in-civil-engineering-34
Mechanical Fitter (35),Vocational,Delhi,1000,Graduate,http://example.com/mechanical-fitter-35
Diploma in Computer Science (36),Vocational,Chhattisgarh,200,Graduate,http://example.com/diploma-in-computer-science-36
Digital Marketing Fundamentals (37),Vocational,Maharashtra,3000,Graduate,http://example.com/digital-marketing-fundamentals-37
Mobile App Development (38),Technical,Odisha,2500,10th Pass,http://example.com/mobile-app-development-38
Diploma in Hotel Management (39),Tertiary,Gujarat,1500,12th Pass,http://example.com/diploma-in-hotel-management-39
Tally Accounting (40),Tertiary,Jharkhand,3000,Graduate,http://example.com/tally-accounting-40
Fashion Design Diploma (41),Vocational,Rajasthan,1000,10th Pass,http://example.com/fashion-design-diploma-41
Diploma in Civil Engineering (42),Vocational,Assam,1000,Graduate,http://example.com/diploma-in-civil-engineering-42
BCA - Bachelor of Computer Applications (43),Vocational,Tamil Nadu,0,10th Pass,http://example.com/bca---bachelor-of-computer-applications-43
Diploma in Computer Science (44),Vocational,Uttar Pradesh,200,Graduate,http://example.com/diploma-in-computer-science-44
BCA - Bachelor of Computer Applications (45),Technical,Chhattisgarh,1000,Graduate,http://example.com/bca---bachelor-of-computer-applications-45
Web Development Bootcamp (46),Tertiary,Assam,3000,10th Pass,http://example.com/web-development-bootcamp-46
Plumbing Technician (47),Technical,Gujarat,200,10th Pass,http://example.com/plumbing-technician-47
Tally Accounting (48),Technical,Jharkhand,2500,12th Pass,http://example.com/tally-accounting-48
Fashion Design Diploma (49),Tertiary,Delhi,200,10th Pass,http://example.com/fashion-design-diploma-49
B.Com - Bachelor of Commerce (50),Tertiary,Uttar Pradesh,200,10th Pass,http://example.com/b.com---bachelor-of-commerce-50
Diploma in Electrical Engineering (51),Vocational,Bihar,3000,10th Pass,http://example.com/diploma-in-electrical-engineering-51
Beautician Course (52),Vocational,Online,3000,10th Pass,http://example.com/beautician-course-52
Diploma in Computer Science (53),Technical,Bihar,200,10th Pass,http://example.com/diploma-in-computer-science-53
Cybersecurity Basics (54),Tertiary,Karnataka,200,10th Pass,http://example.com/cybersecurity-basics-54
Mobile App Development (55),Technical,Chhattisgarh,3000,10th Pass,http://example.com/mobile-app-development-55
B.Com - Bachelor of Commerce (56),Vocational,Punjab,2500,10th Pass,http://example.com/b.com---bachelor-of-commerce-56
B.Com - Bachelor of Commerce (57),Technical,Madhya Pradesh,1500,12th Pass,http://example.com/b.com---bachelor-of-commerce-57
Graphic Design Masterclass (58),Tertiary,Bihar,3000,10th Pass,http://example.com/graphic-design-masterclass-58
Diploma in Electrical Engineering (59),Technical,Gujarat,0,Graduate,http://example.com/diploma-in-electrical-engineering-59
Healthcare Assistant Course (60),Tertiary,Delhi,2000,10th Pass,http://example.com/healthcare-assistant-course-60
Data Entry Operator (61),Tertiary,Chhattisgarh,500,10th Pass,http://example.com/data-entry-operator-61
AI & Machine Learning Basics (62),Vocational,Punjab,200,Graduate,http://example.com/ai-&-machine-learning-basics-62
Diploma in Computer Science (63),Tertiary,Rajasthan,2500,10th Pass,http://example.com/diploma-in-computer-science-63
BA in Social Work (64),Vocational,Assam,0,Graduate,http://example.com/ba-in-social-work-64
Diploma in Computer Science (65),Technical,Assam,2000,12th Pass,http://example.com/diploma-in-computer-science-65
Diploma in Electrical Engineering (66),Tertiary,Uttar Pradesh,1000,12th Pass,http://example.com/diploma-in-electrical-engineering-66
B.Com - Bachelor of Commerce (67),Vocational,West Bengal,3000,12th Pass,http://example.com/b.com---bachelor-of-commerce-67
Digital Marketing Fundamentals (68),Vocational,Karnataka,3000,Graduate,http://example.com/digital-marketing-fundamentals-68
BA in Social Work (69),Vocational,Tamil Nadu,1000,Graduate,http://example.com/ba-in-social-work-69
Computer Hardware Technician (70),Vocational,Jharkhand,200,10th Pass,http://example.com/computer-hardware-technician-70
Online Python Programming (71),Technical,Punjab,3000,Graduate,http://example.com/online-python-programming-71
